StateCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
33702,46551,44952,46656,48175,46949,47787,49208,50214,53243,54196,57512,62271,65503
33705,34251,34317,35349,36937,38608,41289,43505,48171,50637,56914,62672,68821,70783
33707,40868,41948,41407,41247,,43289,43861,47259,51279,51861,56393,61988,68560
33711,36197,34979,36154,35116,33940,37071,38500,39720,46628,52902,60488,61488,68295
33073,65555,66420,63687,66935,,68729,71361,75640,77158,81727,87591,94775,99269
33134,52417,50115,52316,53841,57911,58733,65197,67818,68868,70983,79544,82925,92009
33136,21250,21424,19129,20903,,21356,22864,24702,26336,29897,30036,35129,43481
33145,40210,38921,37167,36959,39674,41712,46856,51181,54288,56239,62806,68717,70592
33156,94399,92150,91353,96299,95945,100531,107244,112373,117491,126688,123991,133862,134720
33158,134764,142620,135833,138257,147014,141434,154868,159914,170673,159219,163565,177917,180357
33811,57270,57684,55000,53662,,53091,53859,57589,62678,71224,75483,83043,85821
33841,41753,45700,44029,43239,42703,42950,41992,42838,43653,39663,39708,38466,39608
33160,44923,46817,45627,47451,47959,48455,50070,52170,51790,50660,53393,58174,62413
33183,54299,52886,52571,50429,48899,51505,53546,56400,59797,60616,61806,64714,67741
33306,66758,72647,81898,73889,,75804,67180,64125,71357,71159,66367,74385,82375
33311,31019,30744,30738,31001,31913,31745,33453,35075,36649,40684,43007,48020,51918
33326,79372,79476,77813,78481,81209,81224,83160,84910,93197,93333,99828,107899,113935
33330,104849,100655,98285,97240,97192,101450,112917,122204,130208,131222,126782,136839,132483
33351,54521,55588,54688,54582,54880,54524,54438,58962,60848,56937,63941,66611,68996
33406,50625,48669,47685,45614,45490,51126,57219,60142,62785,64608,65035,66531,79696
33428,62134,61098,59152,60929,60952,63034,65041,67500,71239,67202,71594,77322,85939
33432,59952,58304,55150,58972,,60273,64599,72425,77250,77952,81566,87634,94375
33438,26154,25714,25333,25729,,35987,49583,56500,58750,-666666666,95188,70577,-666666666
36511,43098,29984,28933,31908,,14060,-666666666,20159,20615,-666666666,53795,85588,61854
36524,25938,30268,30777,33750,,32321,34598,35588,35093,45152,50764,36875,43500
36525,46192,47273,48919,51705,,47163,51364,46250,43714,50179,55526,61550,64779
36529,79632,81161,83750,46394,33750,-666666666,-666666666,-666666666,-666666666,2499,-666666666,123056,82500
36583,50377,29816,27689,27561,,30948,30982,37361,41181,41731,70667,46638,-666666666
36749,44226,42132,33889,33077,,47788,41615,37054,27266,22800,17455,21651,23156
36617,25267,25727,24146,24811,24842,25337,27039,27626,31192,35450,38067,37379,39922
36723,11875,6184,6422,7333,,16071,-666666666,-666666666,16343,15227,33319,35625,38281
36748,32313,31335,33822,34125,33702,33674,36375,37694,40208,40742,42470,46149,31635
36776,18681,27083,25313,20833,39722,34798,42500,29808,28182,14552,-666666666,-666666666,15045
36782,36688,35603,37243,36821,,31056,33224,38026,38214,38173,39583,58438,47566
