StateName,1/31/2005,1/31/2006,1/31/2007,1/31/2008,1/31/2009,1/31/2010,1/31/2011,1/31/2012,1/31/2013,1/31/2014,1/31/2015,1/31/2016,1/31/2017,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023
34,13.94829513,24.24564608,23.65675767,13.6998887,7.130464157,1.992242437,-1.678906298,-11.49505059,-11.64231397,-10.22253141,-7.297631564,-8.849724911,-11.56595948,-9.662790741,-10.48665019,-8.568518076,-1.372677419,2.519264459,5.650196012
35,-0.424545765,1.99455859,12.59910798,10.66214056,6.703153967,5.125465402,-0.442272654,-5.373906218,-7.007146948,-8.583396001,-8.174383569,-8.674934548,-6.315048078,-4.149447635,-8.809723517,-5.056467038,4.318462039,8.318572221,13.28981121
36,1.704839716,9.135050178,9.481170651,5.168228371,3.180537106,0.230223208,-2.751471996,-7.473392286,-8.302126935,-7.281972114,-7.254210799,-6.165154203,-5.221216167,-3.727911278,-3.556508789,-0.613232575,5.305137459,8.288279028,9.853731426
37,1.027219481,1.770279995,2.997175092,2.329275044,6.466208492,2.749046437,-2.089311854,-9.161380542,-10.01779643,-8.311218476,-8.221818384,-8.64752417,-7.646667064,-3.618904179,-3.644475569,-1.672138033,6.425224787,16.03241916,23.23438621
38,-100,-100,-100,-100,26.4872026,23.83032349,18.40776792,14.49961295,22.88199464,26.18810979,31.12872831,39.7265915,33.93650306,28.00225259,24.71955969,27.47135982,29.81391732,27.50087537,25.40520095
39,11.62006161,12.19106402,7.816651073,2.449020429,3.833031759,0.282239858,-4.361925055,-10.5169065,-12.0970052,-10.78486163,-11.09686195,-8.206920854,-7.253183976,-5.598042737,-3.740208038,-1.314287633,7.450665095,11.89098034,17.43648939
40,2.748123123,2.157256546,-0.400180719,-0.981489589,1.870206782,1.304112019,-2.629537574,-6.681589426,-7.278384949,-8.127189483,-6.417756287,-5.563228656,-3.848547686,-4.196256379,-5.170143257,-0.871753961,8.153571462,15.05789177,20.87489627
41,-8.502833411,1.561289388,9.184621918,7.292796908,1.503479847,-3.354830099,-10.31140574,-20.77382903,-18.85201504,-11.23616526,-9.683368723,-4.596308533,1.356401774,3.610102705,3.196309558,4.085396887,12.28215483,23.77505512,19.46314691
42,2.75934606,9.971947654,10.76414896,8.030246651,6.992118764,5.775343421,1.791052192,-3.980703803,-4.92318915,-5.448578405,-8.688861318,-7.502173079,-8.366336912,-6.961536158,-7.33886466,-6.150345252,-0.346803344,4.602051102,9.021137275
44,18.1411024,28.64996147,22.53166624,12.6441374,2.076565094,-1.039615615,-5.320824842,-13.40474995,-15.7546681,-9.768113177,-12.16559427,-11.09061853,-10.29548836,-4.269678491,-9.051371385,-7.021127016,1.840106644,4.299389879,8.998920611
45,1.156346013,4.957497302,7.17505332,4.99119616,5.944908203,1.527460151,-2.936995701,-9.071214455,-9.381766397,-8.043869478,-9.110176764,-7.804281377,-5.405576443,-3.694369794,-5.589723458,-2.924199023,4.591246395,13.60083211,20.01763324
46,-4.135028491,-3.836242331,-1.856170649,-4.400022474,-0.66212117,-4.531251146,-8.866163751,-9.112120977,-3.743690394,-3.475902563,-4.801225022,-1.881284161,-1.962650056,3.29686093,1.936983027,1.966926603,5.967787347,16.54660767,23.54870761
47,-3.970136272,-0.84901448,0.172479161,-1.078348647,0.117459778,-2.859210467,-5.380194136,-10.64446001,-12.20165838,-8.694597114,-10.57408839,-6.589573056,-5.098681221,-0.208264813,-0.902165174,3.91700174,11.81332277,23.25723985,29.77288886
48,0.392580704,-2.959223596,-4.013287292,-6.384755051,-6.278085359,-7.39447581,-10.79998477,-15.16658142,-14.12307038,-10.17780162,-7.441861177,-1.030572651,0.962609812,4.726149989,4.872559404,6.942302231,13.53751744,24.54053268,29.79544686
49,-7.701314543,-8.950046465,-1.517488242,6.672362713,0.887272119,-6.871371685,-15.18440793,-21.01322929,-18.31045279,-11.63718151,-11.21320646,-7.030947159,-3.13334762,1.451627841,4.282698012,9.105904141,22.01484945,35.15995502,32.98832441
50,-5.919593707,1.014480205,3.741739564,1.991438832,0.853275966,2.68881055,-3.166900732,-4.008579139,-0.431690367,-1.02182031,-4.139997593,-2.82078092,-0.209917484,-0.822247854,-1.205189496,-4.741628866,-1.963364808,10.85952006,9.302446098
